AGB,# stems,B1,B2,B3,B4,B5,mean_intensity,std_intensity,mean_height (m),perc25_height,median_height,perc75_height,std_height,var_height,skew_height,kurto_height,dens_q100,dens_q75,dens_q50,dens_q25,mean_zdiff_q100,mean_zdiff_q75,mean_zdiff_q50,mean_zdiff_q25
1391.935929,153,450.710127,1271.268206,1022.086934,2941.56523,7905.717646,30.12230216,1.681299736,0.682345324,0.6715,0.686,0.7165,0.046044819,0.002120125,-1.011874476,1.950161576,0.251798561,0.244604317,0.251798561,0.251798561,0.001411765,0.000878788,0.000823529,0.005029412
1234.075908,0,377.5765663,1177.306413,930.8538359,2514.313788,5957.021844,29.30921053,2.161972639,0.600236842,0.669,0.6025,0.66025,0.086205441,0.007431378,-0.168128606,-0.168441171,0.25,0.25,0.243421053,0.256578947,0.003891892,0.001513514,0.001722222,0.004789474
1976.78125,161,1024.017869,3363.357681,2075.178478,8211.035457,17492.1514,30.50442478,1.858364938,0.666792035,0.53125,0.6825,0.72,0.07594692,0.005767935,-1.059420881,1.152344938,0.243362832,0.256637168,0.247787611,0.252212389,0.001648148,0.000649123,0.000909091,0.004839286
1332.531825,181,198.8620908,555.3239665,436.5689771,1355.431062,3682.189874,30,2.060673873,0.598144928,0.351,0.6055,0.6365,0.053858046,0.002900689,-0.551087806,-0.021841519,0.253623188,0.246376812,0.246376812,0.253623188,0.001558824,0.000878788,0.001151515,0.003294118
1337.485971,121,760.2941146,2443.151264,2152.714183,6140.587784,14390.385,28.5,2.15849274,0.557704545,0.44425,0.5545,0.61025,0.077054559,0.005937405,0.215295666,-0.347262703,0.25,0.25,0.25,0.25,0.005125,0.0016875,0.0015625,0.0033125
671.8333333,76,1213.680779,3900.185135,2962.084248,8247.21921,14497.83308,30.37671233,1.579580363,0.669952055,0.4725,0.675,0.7025,0.053928711,0.002908306,-0.596749012,1.028330568,0.253424658,0.226027397,0.267123288,0.253424658,0.002527778,0.00065625,0.000789474,0.004972222
802.3561644,111,890.2942638,2355.420791,2505.597249,5588.068482,11610.50656,30.04545455,1.918267986,0.341305195,0.52275,0.348,0.39175,0.079346955,0.006295939,-0.240732998,-0.181200557,0.253246753,0.246753247,0.246753247,0.253246753,0.003368421,0.001135135,0.00127027,0.004421053
1412.411765,133,1204.539063,3947.640625,2636.085938,8866.492188,16977.35156,30.3649635,2.10967847,0.68849635,0.64325,0.687,0.711,0.036316959,0.001318922,-0.187038501,0.3181635,0.248175182,0.233576642,0.262773723,0.255474453,0.001909091,0.000677419,0.000571429,0.003058824
927.3142857,102,1074.007874,3439.094488,2926.551181,7683.913386,14557.25197,29.99644128,1.57944587,0.692647687,0.351,0.705,0.738,0.070039036,0.004905467,-1.273101024,2.946208557,0.241992883,0.245551601,0.256227758,0.256227758,0.001283582,0.000470588,0.000619718,0.004070423
1607.733333,154,221.0908918,605.0113303,550.6999953,1418.108999,3573.390796,29.47857143,1.880227407,0.470371429,0.5695,0.466,0.5295,0.079573267,0.006331905,0.103760904,-0.716202822,0.25,0.235714286,0.257142857,0.257142857,0.003058824,0.001875,0.001457143,0.003228571
